outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,setpoint,month,hour,totCLG
18.3,0.0066818282279365,45,879.5,125.982724733135,48.4930004090986,22.1983946347767,22.1949919948651,8,10,0
21.1,0.00671415448087375,38,919,146.528100928213,56.2640401016794,22.334680474156,22.3388906345224,8,11,0.0280188686658881
23.3,0.00687046211903579,34,936.5,173.606611117375,60.1265041775972,21.0206387070936,21.0197447533792,8,12,0.995665392855051
25.6,0.00672360418333694,29,930.5,202.433081211053,58.5415225056936,22.97433047953,22.9822822651349,8,13,0.839590042572346
26.7,0.00693005063062738,28,900.5,225.917590617059,52.2080627356916,22.0307866130551,22.0316055621988,8,14,0.802211684007948
27.2,0.00688118752025234,27,848.5,243.085609812889,43.0842779228862,21.5992380081022,21.599728737083,8,15,0.736996944187622
26.7,0.00693005063062738,28,776,256.143247719636,32.6032328976733,23.520194120706,23.5273916489327,8,16,0.554281923249315
25.6,0.00695804627533216,30,678,267.006728632851,21.5496154001205,23.7390888870518,23.7435581055743,8,17,0.00292410083205203
23.9,0.00691436315620507,33,310.5,276.920785853259,10.3829832606258,22.5155719267769,22.5074804575696,8,18,0.0238726870730304
21.7,0.00696842976183585,38,0,286.747090459585,-0.554162374669352,22.5472709605826,22.5478967201832,8,19,0
19.4,0.00684097628441296,43,0,297.192356536,-10.9205951836443,22.7588069612616,22.7619437912769,8,20,0
17.8,0.00690915994049374,48,0,308.924390583323,-20.2948458617853,22.2371900749677,22.2287702815808,8,21,0
16.1,0.00684839009814169,53,0,322.556995899183,-28.1092121011109,23.4576456834364,23.4631015781303,8,22,0
15.6,0.00675695724098585,54,0,338.414650396862,-33.6339277152511,23.0429614557717,23.0357778400031,8,23,0
14.4,0.00683437859116103,59,0,3.88222761970651,-36.4528218118447,23.6194540362914,23.6225547040204,8,0,0
14.4,0.00683437859116103,59,0,14.2426032033829,-35.4383016333235,23.7922066841443,23.7936097288408,8,1,0
13.9,0.00672737768378651,60,0,31.0594666696336,-31.1160940274831,23.4633093770745,23.4570447400148,8,2,0
13.9,0.00672737768378651,60,0,45.6861621566148,-24.1609460310011,23.707338283103,23.7094181369934,8,3,0
13.3,0.00668481332159802,62,0,58.1921144081558,-15.3510406572083,21.9847709012362,21.9756884839039,8,4,0
12.8,0.00667839428191612,64,0,69.1236393867138,-5.33155224324091,21.5190412923162,21.5109215530297,8,5,0
13.3,0.00668481332159802,62,276,79.1452635364263,5.41850560918532,21.6365011854168,21.6357108862495,8,6,0
13.9,0.00672737768378651,60,621,88.9436772116983,16.5317484064893,23.0865919287235,23.0907749054866,8,7,0
15,0.00674206155021247,56,737.5,99.2946216359444,27.6762607695262,22.7254788698901,22.7199958181145,8,8,0
17.2,0.0066494954073884,48,819.5,111.24036675425,38.4589464137486,21.1670789081883,21.1567908532594,8,9,0
19.4,0.00684097628441296,43,879.5,126.366260359463,48.2666091092027,21.6713657646995,21.6814078797187,8,10,0
21.7,0.00678305016966987,37,919,146.880006671313,55.9853433723335,23.5911804516639,23.60263900575,8,11,0
24.4,0.00669074881671896,31,934.5,173.785192324868,59.7976359840031,22.0693604467242,22.0676277710442,8,12,0.443833918934889
