outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneHTGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneHTGstpPrev,hourPrev,totHTGPrev,totHTG
8.3,0.00550803444881025,79,0,298.377314200138,-59.2655464847037,19.3471573220268,19.3427352431772,12,22,7.8,0.00552610115471119,82,0,282.917905170736,-48.7778018411541,20.452073674729,20.4544389719137,21,4.80805986651933,4.42447961629158
7.8,0.00552610115471119,82,0,323.153758890467,-67.8234159661561,18.2395712237132,18.2330048949309,12,23,8.3,0.00550803444881025,79,0,298.377314200138,-59.2655464847037,19.3471573220268,19.3427352431772,22,4.42447961629158,3.80952145557472
7.8,0.00552610115471119,82,0,1.89290437692084,-71.364227582833,18.4601473143973,18.4613648702257,12,0,7.8,0.00552610115471119,82,0,323.153758890467,-67.8234159661561,18.2395712237132,18.2330048949309,23,3.80952145557472,3.83919115241741
7.2,0.00549785699277746,85,0,39.9291726689129,-67.236190005931,20.363179043515,20.3647889205623,12,1,7.8,0.00552610115471119,82,0,1.89290437692084,-71.364227582833,18.4601473143973,18.4613648702257,0,3.83919115241741,6.23944039227684
7.2,0.00549785699277746,85,0,63.5034901435857,-58.3795885380444,20.3776551574261,20.3767955721926,12,2,7.2,0.00549785699277746,85,0,39.9291726689129,-67.236190005931,20.363179043515,20.3647889205623,1,6.23944039227684,4.98515942598447
6.7,0.00543679992080931,87,0,78.3879285140274,-47.7889956997911,19.5253414215374,19.5182949611693,12,3,7.2,0.00549785699277746,85,0,63.5034901435857,-58.3795885380444,20.3776551574261,20.3767955721926,2,4.98515942598447,4.53811239007273
6.7,0.00543679992080931,87,0,89.4699157229775,-36.6602714289263,20.0109858388806,20.0134846356501,12,4,6.7,0.00543679992080931,87,0,78.3879285140274,-47.7889956997911,19.5253414215374,19.5182949611693,3,4.53811239007273,5.09369626044483
6.7,0.00531074884500339,85,0,98.9760635368521,-25.4997535702073,18.1607397270564,18.1575826400216,12,5,6.7,0.00543679992080931,87,0,89.4699157229775,-36.6602714289263,20.0109858388806,20.0134846356501,4,5.09369626044483,4.9988371901961
6.1,0.00521459229242222,87,0,108.023639301017,-14.616081476635,19.7397076728116,19.7420241425932,12,6,6.7,0.00531074884500339,85,0,98.9760635368521,-25.4997535702073,18.1607397270564,18.1575826400216,5,4.9988371901961,6.09162188946573
5.6,0.00521074855136557,90,0,117.307986842646,-4.284676277565,20.4059338863179,20.4092224194906,12,7,6.1,0.00521459229242222,87,0,108.023639301017,-14.616081476635,19.7397076728116,19.7420241425932,6,6.09162188946573,5.69115846310383
