outDryBulbTemp,outHumidityRatio,outRelHumidity,directSolarRad,solAzimAngle,solAltAngle,zoneMeanAirTemp,zoneCLGstp,month,hour,outDryBulbTempPrev,outHumidityRatioPrev,outRelHumidityPrev,directSolarRadPrev,solAzimAnglePrev,solAltAnglePrev,zoneMeanAirTempPrev,zoneCLGstpPrev,hourPrev,totCLGPrev,totCLG
27.2,0.00971774982820027,42,794.5,176.005600035626,61.2967244315396,23.1251780262894,23.1251779622632,8,12,25,0.0097520487759291,48,815,147.787232372049,57.7648903628874,23.9377320142991,23.9377320143245,11,3.65013038364067,5.11473176450108
28.9,0.0097073663028499,38,771,205.394656487162,59.1824049987061,21.1358893074639,21.1358892927108,8,13,27.2,0.00971774982820027,42,794.5,176.005600035626,61.2967244315396,23.1251780262894,23.1251779622632,12,5.11473176450108,8.40478528994406
30,0.00979988986727986,36,714,228.613146370399,52.3884281093976,21.5658253739474,21.565834563416,8,14,28.9,0.0097073663028499,38,771,205.394656487162,59.1824049987061,21.1358893074639,21.1358892927108,13,8.40478528994406,6.95998662969995
30.6,0.0098617520122299,35,624,245.341422195685,42.9806408403233,22.6845061828487,22.6845063014545,8,15,30,0.00979988986727986,36,714,228.613146370399,52.3884281093976,21.5658253739474,21.565834563416,14,6.95998662969995,7.54140613250186
30,0.00979988986727986,36,439.5,258.066531491838,32.3494498401668,22.0370595096969,22.0370591110877,8,16,30.6,0.0098617520122299,35,624,245.341422195685,42.9806408403233,22.6845061828487,22.6845063014545,15,7.54140613250186,6.21402181887181
28.9,0.00996691688097478,39,261.5,268.723026369263,21.2324809257363,21.7622444486136,21.7622443758351,8,17,30,0.00979988986727986,36,439.5,258.066531491838,32.3494498401668,22.0370595096969,22.0370591110877,16,6.21402181887181,4.08339399998092
27.2,0.00995282725081877,43,104,278.528604020938,10.0641189616552,22.2801678698028,22.2801678698424,8,18,28.9,0.00996691688097478,39,261.5,268.723026369263,21.2324809257363,21.7622444486136,21.7622443758351,17,4.08339399998092,2.54423576882052
25,0.00995846935940777,49,0,288.322381453277,-0.8225557063858,23.4478768986486,23.7063454575783,8,19,27.2,0.00995282725081877,43,104,278.528604020938,10.0641189616552,22.2801678698028,22.2801678698424,18,2.54423576882052,0.845486320610388
22.8,0.0099713592493398,56,0,298.794801580915,-11.0857319577797,21.3920444020425,21.8002013078412,8,20,25,0.00995846935940777,49,0,288.322381453277,-0.8225557063858,23.4478768986486,23.7063454575783,19,0.845486320610388,0.269309318468078
21.7,0.00999188806884847,60,0,310.594455694945,-20.2972183797391,20.1204963774774,22.3178303466388,8,21,22.8,0.0099713592493398,56,0,298.794801580915,-11.0857319577797,21.3920444020425,21.8002013078412,20,0.269309318468078,0
